"video_id","title","channel","published_at","views","likes","comments","tags","duration_iso"
"2FC_24rbZgg","Mental health drawing easy| mental health awareness poster| How to draw mental health day","Art Crumbs",2021-10-06,27441,422,25,"world mental health day drawing, how to draw world mental health day, how to draw world mental health day poster, how to draw world mental health day theme 2021, how to draw mental health day, how to draw mental health day poster, world mental health day activity drawing, world health day drawing, Art Crumbs, poster on world mental health day, world mental health day drawing for school competition, mental health awareness poster, mental health day poster using oil pastels","PT10M2S"
"uGQk9qCdQRw","Rock Choir for Mental Health Awareness Week","Rock Choir",2019-05-17,1857,32,6,"Mental Health Awareness Week, Mental Health, Singing, Choir Group, Rock Choir","PT1M52S"
"1NakiFu4P_I","Zaahir - The Dramatics Society of MHFI | India's First Mental Health Festival | AIIMS, New Delhi","Mental Health Foundation - India",2017-12-24,66537,1539,13,NA,"PT10M22S"
"J4bAg2cRwX4","Want To Be Happy? Don't Make This Mistake | Dr Julie","Dr Julie",2022-07-26,32891129,1870845,21247,"mental health, anxiety, depression, shorts, therapy, psychologist, panic attacks, self help, motivation, self love, mental health awareness","PT54S"
"h9gPkM7zaY8","Did You Know Facts - Mental Health Awareness","Bizzi Bees",2025-10-25,642,9,0,NA,"PT9S"
"nY1wuII8tmU","World Mental Health Day drawing/mental health day poster","BalGopal EduArt",2023-10-08,39893,649,8,"world mental health day, world mental health day drawing, world mental health day poster, mental health day poster, mental health day drawing, world mental health day 2023, mental health awareness, mental health, mental health services, balgopal eduart","PT54S"
"8kPiuqbZKPc","ptsd awareness & support 💙 #ptsd #mentalhealth #awareness #support","The Healing Room",2025-10-19,1134,43,10,NA,"PT1M"
"6Jihi6JGzjI","Suicidal Doesn't Always Look Suicidal","Campaign Against Living Miserably",2022-06-22,10902415,519735,39903,"mental health, mental health awareness, self care, self help, self love, friends, family, love","PT1M30S"
"1FDuh7WUWA0","Mental Health Crisis was not on my bingo card. #trauma, #mentalhealth, #mentalhealthawareness","I am Jodi Brown",2025-10-28,944,55,6,NA,"PT2M59S"
"rn0AFBbHq6k","Mental Health Check: Are You Ignoring These Symptoms?  @DrSatyakamMohapatra","Dr Satyakam Mohapatra Official",2025-06-10,45171,1231,9,"mental health, mental health check, mental health symptoms, signs of mental illness, mental health problems, stress and anxiety, depression symptoms, mental health issues, mental health matters, how to improve mental health, mental health care, early signs of mental illness, mental health support, mental health tips, satyakam, neuropsychiatry, forgotting after some time, mental illness, remembering problem, mental problem, cant remember for long time, mind, problem, mental issue","PT53S"
"Tq1SKUgh6j8","Tired of everything… #mentalhealthcampaign #mentalhealthawareness #depressionisreal #depression","Ryan grimes ",2025-10-19,569,25,2,NA,"PT9S"
"MJiePwTrL9E","Basta't Sama Sama National Mental Health Awareness Dance Video #mentalhealthawareness #mentalhealth","KaAngat Channel",2022-10-12,35792,245,23,"#BastaSamaSama, #MentalHealthSong, #MentalHealth, #SamaSama, #BastatSamaSama, #KaAngatChannel","PT3M28S"
"gTB8gvSwWuU","Mental health awareness.","Luv4m4ds67",2025-10-26,1659,7,5,NA,"PT10S"
"3rtJ2HbWeww","🧠 𝗧𝗵𝗲 𝗡𝗲𝘄 𝗥𝘂𝗹𝗲𝘀 𝗳𝗼𝗿 𝗠𝗲𝗻𝘁𝗮𝗹 𝗛𝗲𝗮𝗹𝘁𝗵 𝗮𝘁 𝗪𝗼𝗿𝗸!","WINC Wire. ",2025-09-16,335,6,0,"how grief affects the body, how to cope with grief, the grieving brain, five stages of grief, psychological trauma, stages of grief","PT51S"
"fL77Tw6Y4Z4","IAMX - Mental Health Awareness (Mile Deep Hollow Documentary Clip)","IAMX",2022-10-11,3528,245,7,"IAMX, Chris Corner, Mental Health, Mental Health Awareness, IAMX Music","PT1M1S"
"Jm2JPnD_Oms","Sometimes being a loner is a trauma response‼️ #fyp #foryoupage #mentalhealth #mentalhealthawareness","Chris GQ Perry",2023-06-08,184714,NA,1149,NA,"PT19S"
"QhXc5CYgxSE","One Day Left || A Short Film About Mental Health and Suicide","KalBit",2019-08-15,362373,14204,1236,"suicide, depression, anxiety, short film, kalbit, kalani, lolbit, film, One Day left, Mental Health, therapy, support, suicide prevention","PT16M16S"
"GJlFGQTc0io","2 Minutes Speech on Mental Health in English for Students","Aspiring Creations",2023-02-20,60596,1095,26,"Speech on Mental Health, mental health, 2 Minutes Speech on Mental Health in English for Students, 10 lines speech on mental health, speech on mental health for kids","PT2M18S"
"P9CMkLsHqRc","Just some mental health encouragement. #mentalhealthawareness ","JulieMango TV",2025-11-12,2238,269,41,NA,"PT22M21S"
"qKIBfv4PhKw","Schumann for Mental Health Awareness month","Sumina Studer",2023-05-03,65118,4154,39,"juilliard, classical music, violin, online violin lessons, violin tips, violin technique, violin exercises, schumann, violin sonata in a, mental health awareness, mental health awareness month, robert schumann, schumann violin sonata","PT40S"
"pn8O4K-DRqg","Mark Duplass opens up about being vocal in his mental health journey | GMA","Good Morning America",2025-09-09,3850,21,0,"GMA, Good Morning America, robin roberts, michael strahan, george stephanopoulos, news, ginger zee, gma3, morning tv, abc news","PT2M1S"
"GezsAAjuNh4","#mentalhealth #mentalhealthawareness #therapy #anxiety #relatable  #fyp #foryou #foryoupage","Murisa's Stories",2025-05-29,1683,29,5,NA,"PT7S"
"IYcwou8uqvs","Mental Health Awareness 😮‍💨🧘  - @TheSootyShowOfficial | 25+ mins | #compilation | TV Show for Kids","The Sooty Show",2023-05-21,67754,164,0,"preschool alphabet, preschool numbers, puppets, learn to count for kids, learn to read for kids, sooty british kids show, sooty sweep soo, the sooty show full episodes, The Sooty Show, full episodes sooty, Sooty, Sweep, Soo, Richard, Izzy Wizzy Lets Get Busy, Blackpool, Matt Corbett, Magic, Wand, Puppets, Comedy, Funny, Kids, Children, Preschool, Primary School, Pranks, full episode, Full Episode, ballamory, rosie and jim, tweenies, Mental Health Awareness, Mental Health","PT31M7S"
"_AW8WVlpFpA","Check In On Your Friends | Mental Health Awareness Week | emojitown #SHORTS","emojitown",2022-05-14,1798959,78224,220,"emojitown, emoji town, animation, funny cartoons, funny comics, teen cartoons, cartoon for teens, animation anime, animation comedy, emoji, animated stories, animated shorts, emojitown series, emojitown show, animated series, funny situations, awkward situations, relatable moments, awkward cartoon, embarassing moments, awkward moments, #emojitown, mental health awareness, mental health, poophead, emojitown poop","PT17S"
"03s5WuZd224","Mental Health Awareness With Timm, Tom, Cédric & Dudley | #EveryMindMatters","Norwich City Football Club",2019-10-10,6642,217,13,"Football, Soccer, Norwich, Norwich City FC, Mental Health, Mental Health Awareness, Timm Klose, Cedric Anselin, World Mental Health Day, Stronger Together","PT38M57S"
"Mg3AHpozKz8","Mental Health Awareness | Webinar 12th October ","Manokaaya Therapies",2025-10-19,242,17,2,NA,"PT47M28S"
"YgJ1aVItOLU","FREE help for Mental Health AWARENESS #shorts","Frugal Fit Mom",2023-05-05,465265,601,6,"frugal living tips, frugal hacks, frugal living tips and ideas, frugal living hacks, frugal living, saving money tips, frugal, frugal living ideas, ffm, frugal fit mom, frugal habits, frugal tips, budget, large family, grocery hacks, save money, money saving hacks, grocery store hacks, on a budget, grocery budget","PT20S"
"r3Dnq1xhaz4","Mental Health Awareness Depression _Part_1||Dr. Laxmikant Rathi #MentalHealthAwareness#lionsclubs","Dr Laxmikant Rathi",2025-11-12,19,6,1,NA,"PT1M20S"
"UdrTb8OfBkk","That one dude before VS after prioritizing his mental health","Joe Rauth",2025-11-06,108164,8584,146,NA,"PT1M20S"
"AF5TO4mHMy4","Roshan Sawera | Complete Show | Amna Malik | Mental Health Awareness | Morning Show","BOL Network",2025-07-23,1139,20,15,"Music, Viral Song, Music Band, Social Media, Viral Music, Local Music, Roshan Sawera Morning Show, Amna Malik Morning Show, New Morning Show 2025, BOL Entertainment Morning Show, Morning Show With Amna Malik, Upcoming Morning Shows In Pakistan, Best Morning Shows On BOL, Pakistani Morning Shows 2025, BOL Entertainment New Shows, Amna Malik BOL Morning Show, Roshan Sawera Latest Updates, Morning Show Trends In Pakistan, Morning Show, Amna Malik","PT1H15M21S"
"FgbpK6Inx0c","dance on mental health awareness by girls of BPS government medical college","Parul Dhiman",2022-09-08,14344,279,0,NA,"PT7M56S"
"rJPlwiv8_n4","लिंग में तनाव क्यों नहीं बनता ? #mentalhealthawareness #youtubefamily #sexualhealth","DrAnkitDaral Psychiatrist ",2021-07-10,933157,5332,39,NA,"PT30S"
"zHTQnBKwfMc","Paragraph on The Importance of Mental Health Awareness#english#essaywriting#paragraph#notes#viral","Logo Designs001",2023-09-29,14829,177,3,NA,"PT11S"
"QwSGn8A-nd0","ENGLISH SPEECH | SELENA GOMEZ: Mental Health Awareness (English Subtitles)","English Speeches",2024-04-06,276328,6123,117,"safd198yjmkkvz0189hystty, english, speech, english speech, english speeches by famous people, english speech for learning, english speeches with big subtitles, english speech with subtitles, english speech pratice, english speech videos, english speaking, speeches in english, learn english, Improve, Writing, Grammar, vocabulary, speaking, script, transcript, Selena Gomez, Mental Health Awareness, Coping Strategies, Overcoming Stigma, Mental Health Advocacy, Vulnerability and Strength","PT27M24S"
"rwHpsh57ih8","The Spider Within: A Spider-Verse Story | Mental Health Awareness Month","Sony Pictures Animation",2024-05-20,151473,1174,34,"Sony Pictures Animation, Animated, Animation, Sony Animation, Kids, Family","PT28S"
"y-b7ZJQT7Qg","Kara David mental health issue ( Mental Health awareness )","The UNSCRIPTED ",2024-11-14,5504,58,3,NA,"PT1M1S"
"hFD9yJDX51s","Seminar ""Mental Health Awareness""","Media Faperta UGM",2022-12-06,4481,79,4,NA,"PT1H51M29S"
"a4s9w_SHWWY","Mental health matters #bulimiarecovery #mentalhealthmatters #mentalhealthawareness #mentalhealthtips","OutshiningED | ED Recovery & Coach Training",2025-06-18,532,5,0,NA,"PT56S"
"ZKmiNWMUFPg","POVSLIBBY MENTAL DISORDER AWARENESS | pov complication","Libby Glass",2023-02-23,150750,4177,349,"mental health, mental disorders, mental health awareness, awareness, mental disorder awareness, povs, pov complimation, complimation, acting, actor, actress","PT8M2S"
"JShUb0QeI-o","Reacting to Why So Many Women Are Mocking Men’s Mental Health","Cypress Ch.",2025-07-02,445694,21535,3713,"vtuber, envtuber, vtubers, vtuberen, english vtuber, live2d, anime, manga, hololive, nijisanji, vshojo, anime girl, animegirl, demon vtuber, demontuber, first time, reaction, shylily, bao, gura, zentreya, nyanners, ironmouse, silvervale, sinder, succubus, react video, reaction video, memes, funny memes, funny videos, reacting to memes, meme reaction, meme video, meme videos, meme compilation, meme, funny reaction, you laugh you lose, best memes, funniest memes","PT28M27S"
"aZPDzckiU2w","✨Northeast Beauty Queens Arrive in Kohima for Mental Health Awareness Campaign Breaking the Silence✨","Inside Nagaland",2025-08-05,305074,13231,171,NA,"PT49S"
"qZC3JjNSem8","""Pinjara"" a short drama #mentalhealth #beatstigma #awareness #drmanishagaur #gaurmentalhealthclinic","Dr Manisha Gaur",2022-10-11,37209,488,16,NA,"PT9M36S"
"mbjsQBTpgmg","Unspoken Struggles: National Minority Mental Health Awareness Month","Real Talk For Real Life",2025-07-13,55,2,4,NA,"PT46M23S"
"VqsjWPAir4U","TEENAGE DEPRESSION | A Short film | Mental Health awareness Motivational Video IAyu Anu Twin Sisters","Ayu and Anu - Twin Sisters",2022-09-30,1875437,34567,1038,"short film, emotional short film, stories, mental health, short film on teenagers, teenage axiety, depression short film, mental health awareness, short movies mental health, motivational videos, depression, Depression hindi short film, Depression short films, ayu and anu show latest video, ayu, anu, ayu and anu twin sisters, teenagers mental health, teenage depression and anxiety, teenage depression short films, anxiety, stories in hindi, hindi stories, hindi moral stories","PT13M50S"
"CpOCxl6H6wk","Mental Health Awareness: Early Intervention","QuickVids",2025-11-12,0,0,0,NA,"PT2M13S"
"wZHMEftZtQM","TEENAGE DEPRESSION Part 02 l A short film | Mental Health Awareness Motivational Video | Ayu Anu","Ayu and Anu - Twin Sisters",2022-11-25,262347,5943,NA,"short film, emotional short film, stories, mental health, short film on teenagers, teenage axiety, depression short film, mental health awareness, short movies mental health, motivational videos, depression, Depression hindi short film, Depression short films, ayu and anu show latest video, ayu, anu, ayu and anu twin sisters, teenagers mental health, teenage depression and anxiety, teenage depression short films, anxiety, Depression, Motivational, Emotional, Awareness, Mental health","PT16M19S"
"cWuZ5ba-LPg","Alden Richards’ Emotional Return to Hong Kong#AldenRichards #MentalHealthAwareness #OFWStories","ShowbizNewsDaily",2025-11-12,1970,23,0,"Alden Richards, OWWA Ambassador, OFW stories, mental health awareness, Alden Richards Hong Kong, Filipino celebrity, Hello Love Again, Hello Love Goodbye sequel, OFW support, Philippine news, celebrity inspiration, inspiring stories, mental wellness, Asian celebrity news, Kapuso star, Filipino actor, emotional moment, global Filipinos, overseas workers, mental health advocacy, celebrity humanitarian, Alden Richards","PT15S"
"bRFvlq-oiKA","‘Connect’ brings mental health awareness to Iberia Parish classrooms","KATC",2025-11-12,9,1,0,"KATC, news, top stories","PT1M38S"
"_S6zzESqu5A","Affects 280M #shorts #trending #adiaava #chotaalivlogs #DepressionFacts #MentalHealth #Awareness","electric rabbit ",2025-11-06,77,2,0,NA,"PT37S"
"obeamypiWQs","Mental Health Matters!#mentalhealth #awareness #breakingthestigma","Brain Dynamics : Because Mental Health Matters",2025-07-27,262,24,1,"mental health, smile, depression, anxiety, shorts, shortsfeed, viral instagram reels, youtube shorts, Dhruv Rathee, Ashis, Ravish kumar, triggered insaan, Dr. Bhagyashee, Brain Dynamics, Ranchi, Jamshedpur, Kolhan University, psychology, Psychologist, Clinical Psychologist, SCB Medical College and Hospital, Cuttack, Odisha, Deepika Padukone, Ranveer Singh, Ranvir Kapoor, Aliya Bhatt","PT23S"
"R-qb4EdH4Do","Soothe Your Anxiety || Mental Health Awareness || Calming female voice ASMR","Cathy Hay",2021-08-13,53155,4575,728,"mental health, mental health awareness, mental health motivation, mental health day, female voice meditation, guided meditation, beautiful female voice meditation, soothing female voice, meditation for anxiety, sleep talk down female voice, guided meditation for anxiety and stress, guided meditation for anxiety, guided female voice meditation, sleep talk down, guided meditation anxiety, guided meditation deep relaxation, sleep meditation anxiety, cathy hay","PT15M49S"
"50eK5Re7GK0","Movies That Help You Understand Mental Health 🎬🧠 | #MovieRecommendations","Yogya Saxena",2025-07-27,1600,24,1,NA,"PT47S"
"qzR5E89ouSU","Your Brain Creates 90% of Your Mental Pain","Daily Stoic Wisdom",2025-11-12,1368,22,2,"stoicism, stoic, mentalhealth, psichology, mindset, ancientwisdom, brain, suffering, mentalstrenght, innerpeace, freedome, power, growth, control","PT41S"
"yv8WgNPjmrY","DAY 117 - 22 PUSH UPS A DAY MENTAL HEALTH AWARENESS CHALLENGE","Below Average Utah Dad",2025-09-12,454,23,8,NA,"PT1M54S"
"9x1WST-ab2I","🎈 Mental Health Awareness #music #linkinpark #linkinparkfans #rock #rockmusic","Misty Sharing Gods Blessings",2025-11-11,926,11,0,NA,"PT32S"
"MXvHEVg2nWA","Compartmentalizing, mental health awareness tools","Mark Ehlert",2025-11-11,18,7,2,NA,"PT3M15S"
"e4pX_gwHJf4","#mentalhealth #mensmentalhealth #mentalhealthawareness","Stillness & Storm",2025-10-04,870,16,0,NA,"PT1M3S"
"7vSZ32GgZHw","Mental Health Problem- அ எப்படி Overcome பண்ணலாம்? || Dr Karthikeyan Psychiatrist","Dr. V. U. Karthikeyan Psychiatrist",2024-10-29,27740,729,24,NA,"PT41S"
"ls9l1O_VHSY","Men's Mental Health Awareness #indiemusic #mentalhealthawareness #mensmentalhealth","Eric Kane ",2025-11-10,1084,19,1,NA,"PT44S"
"SnejODRhckY","Astitva: A skit on mental health awareness","सुKOON @ RTMNU",2023-01-19,18258,242,16,"#astitva #mentalhealth #mentalhealthawareness #worldmentalhealthday, #worldmentalhealthweek #streetplay #nukkadnatak","PT15M2S"
"4CMXn0gwgTg","Mental Health Awareness Program - English and Hindi | Dr Thomas V Thomas","Hope4Today",2025-10-08,56,3,0,NA,"PT1H19M2S"
"AOIzVYz3kz0","The Purpose Behind the Igniting Mental Health Awareness Foundation","The Unmasking Minds Podcast ",2025-11-12,36,8,2,NA,"PT15M37S"
"TieixNGbq-I","The First 5IVE Podcast | Men's Mental Health Awareness","GoodFITT TV",2025-11-12,0,0,0,NA,"PT7M15S"
"-MU0E7O_ZSg","Why is Mental Health Awareness for Students So Important? 🧠💚","the Antonio Parkinson Project",2024-05-13,363,21,0,NA,"PT23S"
"6hyHQlyrGCQ","10 Lines Speech On Mental Health | 10 Lines On Mental Health Day | Mental Health Awareness |","𝐒𝐭𝐮𝐝𝐲 𝐁𝐲 𝐇𝐚𝐧𝐝𝐰𝐫𝐢𝐭𝐢𝐧𝐠",2022-10-08,30297,336,25,"10 lines speech on mental health, 10 lines on world mental health day, world mental health day, mental health, world mental health day speech, mental health day, 10 lines on world health day, study by handwriting, 10 lines on world mental health day in english, speech on mental health, speech on world mental health day, speech on world health day, mental health awareness, world mental health day essay, world mental health day 2022, Mental health awareness","PT4M46S"
"NUAYxjrw5Qo","Mental Health Issues in Children & Adults | Quick Awareness  #doctor #mentalhealth #food","RK Speciality Hospital",2025-08-28,150,7,0,"mental health channel, mental health education, mind-brain connection, neuroplasticity, brain health, nutrition, mental wellbeing, omega-3 fatty acids, b vitamins, antioxidants, magnesium, zinc, iron, cognitive function, brain food, healthy eating, mental clarity, mood disorders, memory, stress, brain plasticity, meal planning, supplementation, brain boosting foods, brain foods for memory, brain foods, how to boost brain power and memory, how to increase brain power, brain power","PT53S"
"202KBwHag4o","“A Thousand Thoughts” – Short Film on Depression & Mental Health Awareness","Gimhan Fonzeka",2025-08-09,115,2,1,"short film, mental health awareness, depression short film, Indian short film, suicide prevention, emotional short film, mental health in India, depression awareness video, family drama short film, cinematic short film, Veo 2 short film, mental health support, mental health awareness in India, suicide awareness, depression story, Indian family story, emotional storytelling, awareness video, Indian teen depression","PT1M51S"
"hoDjRd5SO4k","The First 5IVE Pod | Men's Mental Health Awareness","GoodFITT TV",2025-11-12,0,0,0,NA,"PT7M15S"
"4-87xFPW7v0","A reminder this Mental Health Awareness Day: the fight might just be worth it ❤️","Lauralouiseyoga",2025-10-10,1007,27,0,NA,"PT13S"
"Pp4AtCNJ4io","For Rich | Why I’m Doing Movember This Year","Val Verde Broadcasting",2025-11-11,1097,94,20,"Richard Jackson, Duncan Casey, Val Verde Broadcasting, Commentary, Audio Commentary","PT2M57S"
"51eb4en7NPA","Anxiety Kicking In 😰 | Relatable Mental Health Moment | Real Talk 2025","Nicolas Van steenberghe",2025-11-10,11114,88,1,"#fypシ゚, #dad, #phone, #anxiety, #fypシ゚viralシ, #viralvideochallenge, #youtubevideo, #shorts, anxiety kicking in, relatable anxiety short, mental health awareness, anxiety humor 2025, mental health tiktok short, viral relatable video, trending youtube short, stress relief short, motivation video, emotional short, relatable content, anxiety moments, self help short, anxiety coping, mental wellness","PT16S"
"OMLKg8t-uPI","Winter favorites mental health awareness hoodies","Yaritza Sanabria",2025-11-11,1620,33,0,NA,"PT53S"
"g8zyZfPL4wE","""OMG💙!"" AJ Brown Launches Mental Health Awareness Jackets","Social Swami",2025-11-11,1354,NA,1,NA,"PT43S"
"2URDuVVhbLY","Anxious America","YouTube Movies",2023-09-17,NA,134,11,NA,"PT59M49S"
"LBNyYzJEWEE","Mental Health Awareness Advice We ALL Could Use #afmdjay #rap #more #shorts #funny #GOD #win #fyp","AFM DJAY",2025-11-11,1956,29,2,NA,"PT16S"
"9asaOpnoD3s","Mental health awareness video at Pasighat","District Mental Health Programme Pasighat",2025-11-10,273,16,1,NA,"PT4M21S"
"3yfugxzRvVM","What This Doctor Said Changed How I See Myself Forever! #selflove #mentalhealth #mindset #motivation","Life Within by Sajna",2025-11-11,2830,53,1,"malayalam self help, self improvement, motivation for students, motivation for girls, women empowerment, mental health, self love, self care, manifestation, positive thoughts, inspirational story, my story, my life, reality, society, best podcast, malayalam podcast, jay shetty, osho, andrew huberman, beer biceps, ted talks, therapist advice, raj shamani, change your brain, dhanya varma, pink podcast, pearle maaney, becoming welness, gabor mate, psycologist explains","PT56S"
"pUBCx30_yHw","RADA CHAFU (Official Teaser) | Animated Thriller on Mental Health Awareness | Coming 2026","Derrick Ibalai",2025-11-10,70,15,2,"Derrick Ibalai, rada chafu teaser, rada chafu film, derrick ibalai, ibalai studios, african animation, african animated film, blender animation, short animated film, 2026 animated short, african filmmaker, mental health awareness film, thriller short film, mental health in africa, african art and film, emotional animation, mental health storytelling, animated thriller 2026, 3d animation film, mental health short film, kenyan animation, psychological short film, indie film","PT49S"
"7ZO5Z57O3_I","#mentalhealthawareness #fyp mental illness drawings!!! #awareness","🍓Strawberry🍓",2025-06-17,729,13,0,NA,"PT28S"
"2apBWwRnmjk","Check In With Your Mind and Body | Mental Health Awareness for Kids | Barney's World","Barney the Dinosaur",2025-05-22,44418,99,0,"Childrens TV, Kids Shows, Barney and Friends, I Love You, Barney, ABCs, kids Education, Learning, Baby Bop, BJ, Barney Official Channel, Dinosaur, Sing Along, songs, education, kids, Compilation, Music, Songs for kids, videos for kids, Barney's world","PT2H19M2S"
"dvP3UJKve0k","Mental Health Awareness by Dr. Althea S Wotsa | Consultant Psychiatrist Faith Hospital #health","Dimapur Today",2022-05-09,89705,3664,204,NA,"PT13M25S"
"OI7ELAadyIY","How to K*** a Man | Men’s Mental Health Awareness Month","thesquashpodcast",2025-11-12,12,3,1,NA,"PT18M5S"
"7abTYSwYuhU","Commandant of the Marine Corps talks Mental Health Awareness","Marines",2021-05-27,20708,586,142,"marine corps, marines, mental health, mental health awareness month, usmc","PT1M28S"
"FzuDPNvfAVM","#vent #sad #mentalhealth #mentalhealthawareness","I’m just a girl ",2025-09-13,1062,20,4,NA,"PT14S"
"WsVnM-_UExU","#music #love #song #dance #mentalhealthawareness","tegan.auni10",2025-11-13,277,2,0,NA,"PT10S"
"Irsr4jDt5wo","Mental Health Awareness Post 1 #mentalhealth #mentalhealthmatters #antibrainrot","Droid16",2025-07-03,1794,5,0,NA,"PT16S"
"zWoeFCBednI","DEPRESSION Short Film Mental Health awareness | Motivational Video | New Hindi Short Film","UNIVERSAL CREATIONS",2022-01-04,82154,2066,160,"universal creations, hindi short film depression, depression hindi short film, depression short film, short film depression, depression short films, depression short movies, short movies mental health, short films, new hindi short movies, short film, mental health, mental health awareness, motivational videos, motivational short film, short film hindi award winning, hindi short film, depression motivation, content ka keeda, hindi movies 2021, hindi short movie, depression","PT12M43S"
"69ADbUQcTm0","#mentalhealthawareness #fitness #football #juggling","Were & Mkenya",2025-11-12,1596,5,0,NA,"PT15S"
"JWzL_ybFF70","World Mental Health day drawing| World Mental Health day poster drawing| Health day poster drawing","It's Easy to draw",2024-10-08,43958,407,24,NA,"PT11M25S"
"nLNdQrZV9tY","How HAHA Doesn't Feel Funny Anymore?#psychotalks #youtubeshorts #shorts #fypage #mentalhealth #facts","psychotalks",2025-11-12,757,7,0,"psychotalks, psychology facts, youtubeshorts, shorts, psychology channel, human brain, human nature psychology, human behaviour, fypyoutube, fypage, fyp, foryou, darkpsychology","PT34S"
"YKQSn_nE--Y","LIVE: 🔴🔴పెళ్లైన ఏడాదికే ..Mental Health Awareness – Understanding Family Pressure |@SumanTVOnline","SumanTV Online",2025-11-12,989,0,0,"SumanTV Online","PT2H14M16S"
"unukAmj6wYo","At what cost #mentalhealth #mentalhealthawareness","Billion Dollar Babie",2025-11-13,180,8,0,NA,"PT1M32S"
"RSpazHVVO8w","AKLA ZİYAN | Bir şarkı ruh sağlığı farkındalığını artırabilir mi?","EKOTÜRK TV",2025-11-11,2937,29,0,"Ekotürk","PT59S"
"odTqps3z56U","#mentalhealthawareness #juggling #fitness #football","Were & Mkenya",2025-11-11,2244,11,1,NA,"PT5S"
"PQAfjUxyK1I","పెళ్లైన ఏడాదికే ..Mental Health Awareness – Understanding Family Pressure | @SumanTVOnline","SumanTV Online",2025-11-12,11,0,0,"SumanTV Online, Mental Health Awareness – Understanding Family Pressure","PT4M51S"
"T92aWa4yLAM","Mental Health Awareness Seminar , Little Steps High school Anuppur ","PM online classes ",2025-11-12,2,0,0,NA,"PT2M33S"
"Jhy7GzRaI-4","A GIFT TO STUDENT COMMUNITY ON THIS MENTAL HEALTH DAY | PARMAR SIR | PARMAR SSC","PARMAR SSC",2025-10-10,212911,11188,934,"Parmar Sir, Parmar SSC, Mental Health Day, Student Motivation, SSC Motivation, Study Motivation, Aspirant Life, SSC Preparation, Parmar Academy, Motivation for Students, Mental Health Awareness, Stress Management, Exam Pressure, Student Community, SSC 2025, Competitive Exams Motivation, Parmar Sir Speech, Motivation Hindi, SSC Aspirants, Self Improvement, Motivation Shorts, Exam Stress Relief, World Mental Health Day, Motivation Talk, Parmar SSC Motivation","PT33M6S"
"ITagQWQDq5I","New Music: Hopeton Lindo & Anthony Malvo - Mental Health Awareness🎵🎶","Maria Jackson 27",2025-11-11,45,0,0,NA,"PT1M1S"
"wAYpoEDzTcY","World Mental Health Day poster drawing, 10th October / How to Draw Mental Health Awareness chart","Navyansh Art",2025-10-05,5705,76,6,"Navyansh, Art, drawing tutorial, how to draw, World Mental Health Day poster drawing, How to Draw Mental Health Awareness chart, world mental health day drawing school competition, world mental health day poster and slogan, Mental Health Day drawing","PT18M23S"
"IDSM-p1or1g","CBSE Mental Health Week 2025 | Spreading Awareness, Building Resilience","Academic Mentor for CBSE Schools",2025-10-04,699,23,8,"mental health week, cbse, cbseinitiative, MentalHealthAwareness, EmotionalHealth, PositiveMindset, HealthyMindHappyHeart, CBSE2025, MentalWellness, SchoolActivities, EducationForAll, CBSEacademicmentor, mental health week activities, mental health activity games","PT2M58S"
"2WvJE-08vQI","mental health awareness online program","Tesselaarsdal Library: Story Channel",2025-11-12,5,2,0,NA,"PT20S"
"T3PVhQZSyv4","Rooms Without Windows - DebuggedHarmonies | Dark Rock | Men Mental Health Awareness | Underneath","DebuggedHarmonies",2025-11-12,1,0,1,"experimental music, modern electronic music, pop music, ambient, AI rock, AI metal, symphonic metal, AI folk, choral music, orchestral music, ethnic AI music, relaxing music, epic cinematic music, atmospheric music, meditation ambient, cinematic music, focus music, artificial intelligence in music, AI generated songs, future music, digital orchestra, experimental folk, Slavic choir music","PT3M40S"
"5GXGkTcuquU","Healing Classical for Mental Health","Classical At Home",2025-05-09,25003,27,0,NA,"PT1H35M40S"
"WE0sIA-t0xk","Mental Health Awareness","ACCBXD",2025-11-11,209,8,0,NA,"PT5S"
"RCOAlRCwYwo","Daily Reading Vlog ~ Mental Health Awareness Readathon ~ November 10","KeenCat",2025-11-11,18,4,10,"Books, Reading, Booktube, Booktuber, Christian booktube, Christian Booktuber, Reading vlog, Daily reading vlog, What i read, What I read in a day","PT4M34S"
"1pTPSSNy9Kw","I stand with you this mens mental health awareness month.","Matt",2025-11-12,698,10,0,NA,"PT32S"
"BzF7YcvdarY","Music can heal. 🍀 #emotionallyrics #newtrack #musicianslife #letgoofthepast #mentalhealthawareness","Clover Cage",2025-11-12,640,5,1,"New sad songs, Emotional tracks, singer, music for healing, indie musician, ballads, talented, viral, shorts, music video shorts","PT7S"
"ALfIqqOd8MI","Toxicity, hellbank health Dundee mental health awareness","Tanya Clarke Sweep 💕",2025-11-12,8,0,0,NA,"PT13M56S"
"y4wgq6qtmz8","a message for the ones fighting quiet battles. #mentalhealth #mentalhealthawareness","FlowersFromPain",2025-11-12,1322,54,1,NA,"PT29S"
"B2R0O2YzHSA","MENtal health awareness video","Chit Show",2025-11-13,11,1,0,NA,"PT27S"
"v18BhGk5b2Q","mental health awareness","rose Uplifting Women and children foundation ",2025-11-10,0,0,0,NA,"PT32S"
"niuXTbBQTLc","Day 6 - Choosing to be delusional","Julia Ayers",2025-11-11,3232,268,15,NA,"PT1M23S"
